bs, shape, transfer, compute
1, 1000, 0.665568, 0.885312
1, 2000, 2.2576, 6.90144
1, 3000, 4.58934, 25.3414
1, 4000, 7.87389, 59.1507
2, 1000, 1.10899, 1.73418
2, 2000, 4.1303, 13.6902
2, 3000, 8.78189, 51.3015
2, 4000, 15.3205, 120.008
4, 1000, 2.26416, 3.28403
4, 2000, 7.85837, 26.3647
4, 3000, 17.2316, 103.212
4, 4000, 30.2434, 240.332
8, 1000, 4.09738, 6.55661
8, 2000, 15.3734, 54.7239
8, 3000, 34.0489, 209.056
8, 4000, 60.283, 483.736
16, 1000, 7.85168, 13.0778
16, 2000, 30.2548, 116.793
16, 3000, 67.9855, 421.332
16, 4000, 120.793, 977.48
32, 1000, 15.3274, 26.1326
32, 2000, 60.2825, 231.28
32, 3000, 135.917, 845.787
32, 4000, 242.172, 1971.79